DT,outcome_rv,outcome_rv_log,lag_rv_day,lag_rv_day_2,lag_rv_day_3,lag_rv_day_4,lag_rv_day_5,lag_rv_day_6,lag_rv_day_7,lag_rv_day_8,lag_rv_day_9,lag_rv_day_10,lag_rv_day_11,lag_rv_day_12,lag_rv_day_13,lag_rv_day_14,lag_rv_day_15,lag_rv_day_16,lag_rv_day_17,lag_rv_day_18,lag_rv_day_19,lag_rv_day_20,lag_rv_day_21,lag_rv_day_log,lag_rv_day_log_2,lag_rv_day_log_3,lag_rv_day_log_4,lag_rv_day_log_5,lag_rv_day_log_6,lag_rv_day_log_7,lag_rv_day_log_8,lag_rv_day_log_9,lag_rv_day_log_10,lag_rv_day_log_11,lag_rv_day_log_12,lag_rv_day_log_13,lag_rv_day_log_14,lag_rv_day_log_15,lag_rv_day_log_16,lag_rv_day_log_17,lag_rv_day_log_18,lag_rv_day_log_19,lag_rv_day_log_20,lag_rv_day_log_21,lag_rv_week,lag_rv_week_log,lag_rv_month,lag_rv_month_log,lag_rv_3month,lag_rv_3month_log,vix,return_sign_day,return_sign_week,return_sign_month,liquidity_day,liquidity_week,liquidity_month,liquidity_day_log,liquidity_week_log,liquidity_month_log,vix_log,mktMinusRiskfree,smb,hml,rf
20100104,2.9226113875377045e-4,-8.137862844553052,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04,1,NA,NA,79331.00000000004,NA,NA,11.281384251788262,NA,NA,2.997730276216664,0.05,0.02,0.05,0
20100105,2.8143517853849434e-4,-8.1756084085228,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.35,1,NA,NA,68592.00000000004,NA,NA,11.135931188837759,NA,NA,2.962692419475791,1.69,0.57,0.9,0
20100106,3.6426465649278287e-4,-7.917629876244016,2.814351785384942e-4,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1756084085228,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.16,1,NA,NA,79719.99999999997,NA,NA,11.28627577432673,NA,NA,2.9528247725427144,0.31,-0.23,0.77,0
20100107,2.827549088829325e-4,-8.170930081905901,3.642646564927829e-4,2.814351785384942e-4,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.917629876244016,-8.1756084085228,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.06,1,NA,NA,86430.00000000006,NA,NA,11.367090116746684,NA,NA,2.947591898226056,0.23,0.04,0.66,0
20100108,2.145332171826868e-4,-8.447045972925023,2.827549088829326e-4,3.642646564927829e-4,2.814351785384942e-4,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.170930081905901,-7.917629876244016,-8.1756084085228,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.736115666888389e-4,-8.244957137611914,NA,NA,NA,NA,18.13,0,1,NA,61837.00000000001,74651.63465369391,NA,11.032257169794764,11.22058770029884,NA,2.8975680247667595,0.29,0.2,0.69,0
20100111,3.3106926411647546e-4,-8.013182947328962,2.1453321718268662e-4,2.827549088829326e-4,3.642646564927829e-4,2.814351785384942e-4,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.447045972925023,-8.170930081905901,-7.917629876244016,-8.1756084085228,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8704981997013335e-4,-8.169815436830158,NA,NA,NA,NA,17.55,0,1,NA,51060,68354.46654149205,NA,10.840756690795475,11.13246218810028,NA,2.865053949911875,0.42,0.24,0.22,0
20100112,3.7021575127374056e-4,-7.901424610718833,3.310692641164753e-4,2.1453321718268662e-4,2.827549088829326e-4,3.642646564927829e-4,2.814351785384942e-4,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.013182947328962,-8.447045972925023,-8.170930081905901,-7.917629876244016,-8.1756084085228,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9481144504267434e-4,-8.14487945738534,NA,NA,NA,NA,18.25,0,0,NA,72195.00000000003,69057.94159170224,NA,11.18712607040532,11.142701164413793,NA,2.9041650800285006,0.07,-0.01,-0.27,0
20100113,1.4841343550466468e-4,-8.815508695583388,3.7021575127374056e-4,3.310692641164753e-4,2.1453321718268662e-4,2.827549088829326e-4,3.642646564927829e-4,2.814351785384942e-4,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.901424610718833,-8.013182947328962,-8.447045972925023,-8.170930081905901,-7.917629876244016,-8.1756084085228,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125675595897236e-4,-8.090042697824547,NA,NA,NA,NA,17.85,1,0,NA,59103,65046.22189599626,NA,10.987036963527192,11.082853402253885,NA,2.8820035082256483,-1.05,-0.29,-0.98,0
20100114,2.7151208164300216e-4,-8.211503919974461,1.484134355046648e-4,3.7021575127374056e-4,3.310692641164753e-4,2.1453321718268662e-4,2.827549088829326e-4,3.642646564927829e-4,2.814351785384942e-4,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.815508695583388,-7.901424610718833,-8.013182947328962,-8.447045972925023,-8.170930081905901,-7.917629876244016,-8.1756084085228,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6939731539209996e-4,-8.26961846169242,NA,NA,NA,NA,17.63,1,0,NA,41130.99999999997,56069.028012731724,NA,10.624517374082325,10.934338853721014,NA,2.869601996409779,0.91,0.27,0.3,0
20100115,3.7669238786800744e-4,-7.884081650882165,2.71512081643002e-4,1.484134355046648e-4,3.7021575127374056e-4,3.310692641164753e-4,2.1453321718268662e-4,2.827549088829326e-4,3.642646564927829e-4,2.814351785384942e-4,2.9226113875377045e-4,1.4734195077621446e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.211503919974461,-8.815508695583388,-7.901424610718833,-8.013182947328962,-8.447045972925023,-8.170930081905901,-7.917629876244016,-8.1756084085228,-8.137862844553052,-8.822754476833806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6714874994411385e-4,-8.277733229306133,NA,NA,NA,NA,17.91,0,0,NA,51734.00000000003,54103.898145144245,NA,10.853870484578053,10.898661516677672,NA,2.8853592160726205,0.25,0.3,0.16,0
